11:06:30 INFO  httpx | HTTP Request: POST http://127.0.0.1:8000/api/contacts "HTTP/1.1 201 Created"
11:06:30 INFO  tests.http | POST http://127.0.0.1:8000/api/contacts -> 201 (13 ms)
11:06:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=Genevieve "HTTP/1.1 200 OK"
11:06:30 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=Genevieve -> 200 (9 ms)
11:06:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=genevieve "HTTP/1.1 200 OK"
11:06:30 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=genevieve -> 200 (14 ms)
11:06:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=GENEV "HTTP/1.1 200 OK"
11:06:30 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=GENEV -> 200 (10 ms)
11:06:30 INFO  httpx | HTTP Request: GET http://127.0.0.1:8000/api/contacts?q=contact.5ec56ea7%40qa.example.com "HTTP/1.1 200 OK"
11:06:30 INFO  tests.http | GET http://127.0.0.1:8000/api/contacts?q=contact.5ec56ea7%40qa.example.com -> 200 (11 ms)
11:06:30 INFO  httpx | HTTP Request: DELETE http://127.0.0.1:8000/api/contacts/68 "HTTP/1.1 204 No Content"
11:06:30 INFO  tests.http | DELETE http://127.0.0.1:8000/api/contacts/68 -> 204 (9 ms)
